pregunta;respuesta;texto_embedding;categoria_nombre;categoria_completa
Dónde puedo pagar el ticket de estacionamiento de autos MUT;Hay cajeros de pago de ticket de autos en todos los pisos de estacionamientos públicos de MUT. Pisos -7, -8 y -9 al frente de los ascensores.;CATEGORIA: Otras preguntas | PREGUNTA: Dónde puedo pagar el ticket de estacionamiento de autos MUT | RESPUESTA: Hay cajeros de pago de ticket de autos en todos los pisos de estacionamientos públicos de MUT. Pisos -7, -8 y -9 al frente de los ascensores.;Otras preguntas;10 Otras preguntas
Hay wifi gratuito en MUT;En MUT tenemos wifi gratuito para nuestros visitantes. Puedes conectarte a nuestra red.;CATEGORIA: Otras preguntas | PREGUNTA: Hay wifi gratuito en MUT | RESPUESTA: En MUT tenemos wifi gratuito para nuestros visitantes. Puedes conectarte a nuestra red.;Otras preguntas;10 Otras preguntas
Qué cafeterías hay en MUT;Hay muchas cafeterías en MUT: Piso -3: Juan Valdez, Jo Pastelería, Castaño Piso -2: We are Four, Café Altura Piso -1: Aura, The Coffee Piso 1: Barra Fundición, Pascucci Piso 2: Starbucks Piso 3: Rebelde;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué cafeterías hay en MUT | RESPUESTA: Hay muchas cafeterías en MUT: Piso -3: Juan Valdez, Jo Pastelería, Castaño Piso -2: We are Four, Café Altura Piso -1: Aura, The Coffee Piso 1: Barra Fundición, Pascucci Piso 2: Starbucks Piso 3: Rebelde;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué heladerías hay en MUT;En MUT hay varias heladerías: Piso -3: Freddo Piso -2: Fortuna Piso -1: Oakberry Acai y Ciao Amore Piso 1: El Taller Piso 3: Auguri;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué heladerías hay en MUT | RESPUESTA: En MUT hay varias heladerías: Piso -3: Freddo Piso -2: Fortuna Piso -1: Oakberry Acai y Ciao Amore Piso 1: El Taller Piso 3: Auguri;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Se puede fumar en MUT;MUT es un espacio libre de humo;CATEGORIA: Otras preguntas | PREGUNTA: Se puede fumar en MUT | RESPUESTA: MUT es un espacio libre de humo;Otras preguntas;10 Otras preguntas
Qué hay en cada piso de MUT;"Piso -3: ""La Estación"". En este piso encontrarás: Tiendas, Servicios, Farmacias, Cafeterías, Supermercado, Gastronomía, Reparadoras y conexión con Metro Tobalaba. Piso -2: ""El Mercado"". En este piso encontrarás: Tiendas, Cocinerías, Restaurantes, Cafeterías, Heladería y baños públicos. Piso -1: ""El Taller"". Acá encontrarás: industrias creativas, tiendas, cafeterías, el estacionamiento de bicicletas o ""bici hub"" y baños públicos. Piso 1: ""Calle MUT"". En este piso encontrarás: Tiendas, Barbería, Tatuajes, Cafeterías y Oficinas. Piso 2: ""El Barrio"". En este piso encontrarás: Tecnología, Tiendas, Cafetería y baños públicos. Piso 3: ""El Jardín"". En este piso encontrarás: Librerías, Tiendas, Heladería, Cafetería y un Bar de Vinos. Piso 4: ""La Terraza"". En este piso encontrarás: Los restaurantes Toni Lautaro y Ambrosía. Piso 5: ""Beer Garden"" En este piso encontrarás: Restaurante Diablo. Pisos-5 y -6: estacionamientos de oficinas Pisos -7 al -9: estacionamientos públicos";"CATEGORIA: Otras preguntas | PREGUNTA: Qué hay en cada piso de MUT | RESPUESTA: Piso -3: ""La Estación"". En este piso encontrarás: Tiendas, Servicios, Farmacias, Cafeterías, Supermercado, Gastronomía, Reparadoras y conexión con Metro Tobalaba. Piso -2: ""El Mercado"". En este piso encontrarás: Tiendas, Cocinerías, Restaurantes, Cafeterías, Heladería y baños públicos. Piso -1: ""El Taller"". Acá encontrarás: industrias creativas, tiendas, cafeterías, el estacionamiento de bicicletas o ""bici hub"" y baños públicos. Piso 1: ""Calle MUT"". En este piso encontrarás: Tiendas, Barbería, Tatuajes, Cafeterías y Oficinas. Piso 2: ""El Barrio"". En este piso encontrarás: Tecnología, Tiendas, Cafetería y baños públicos. Piso 3: ""El Jardín"". En este piso encontrarás: Librerías, Tiendas, Heladería, Cafetería y un Bar de Vinos. Piso 4: ""La Terraza"". En este piso encontrarás: Los restaurantes Toni Lautaro y Ambrosía. Piso 5: ""Beer Garden"" En este piso encontrarás: Restaurante Diablo. Pisos-5 y -6: estacionamientos de oficinas Pisos -7 al -9: estacionamientos públicos";Otras preguntas;10 Otras preguntas
Hay supermercado en MUT;En el piso -3 está el supermercado SPID.;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay supermercado en MUT | RESPUESTA: En el piso -3 está el supermercado SPID.;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay peluquería en MUT;Sí, hay peluquería en MUT. En el piso -3 está la peluquería MIMI.;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay peluquería en MUT | RESPUESTA: Sí, hay peluquería en MUT. En el piso -3 está la peluquería MIMI.;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay SPA en MUT;En el piso -3, está el spa Infinity Soul, de masajes faciales;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay SPA en MUT | RESPUESTA: En el piso -3, está el spa Infinity Soul, de masajes faciales;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay farmacias en MUT;En MUT hay 3 farmacias: Salcobrand, Knop y Farmacias Ahumada, todas están en el piso -3 de MUT;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay farmacias en MUT | RESPUESTA: En MUT hay 3 farmacias: Salcobrand, Knop y Farmacias Ahumada, todas están en el piso -3 de MUT;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Cuál es la página web de mut;La página web de mut es www.mut.cl;CATEGORIA: Otras preguntas | PREGUNTA: Cuál es la página web de mut | RESPUESTA: La página web de mut es www.mut.cl;Otras preguntas;10 Otras preguntas
Dónde está el lobby o recepción del edificio de oficinas de MUT;El lobby o recepción del edifcio de oficinas de MUT Roger de Flor está en el piso 3 El lobby o recepción del edificio de oficinas de MUT Apoquindo está en el piso 1 (puerta roja);CATEGORIA: Información sobre ubicación de oficinas MUT | PREGUNTA: Dónde está el lobby o recepción del edificio de oficinas de MUT | RESPUESTA: El lobby o recepción del edifcio de oficinas de MUT Roger de Flor está en el piso 3 El lobby o recepción del edificio de oficinas de MUT Apoquindo está en el piso 1 (puerta roja);Información sobre ubicación de oficinas MUT;7 Información sobre ubicación de oficinas MUT
Qué tiendas de deporte hay en MUT;En MUT hay varias tiendas de deporte: - piso -1: Ibikes - piso 1: Adidas, Skechers, Fjall Raven - piso 2: Nike, Lippi, Drops;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de deporte hay en MUT | RESPUESTA: En MUT hay varias tiendas de deporte: - piso -1: Ibikes - piso 1: Adidas, Skechers, Fjall Raven - piso 2: Nike, Lippi, Drops;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de perfumería hay en MUT;En MUT puedes encontrar la tienda de perfumes LODORO en el piso -3 y la tienda de aromas Bath and Blanc en el piso -1;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de perfumería hay en MUT | RESPUESTA: En MUT puedes encontrar la tienda de perfumes LODORO en el piso -3 y la tienda de aromas Bath and Blanc en el piso -1;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de joyas o bisutería o accesorios hay en MUT;En MUT hay varias tiendas de joyería, accesorios y bisutería: -piso -3: PSK Joyas y Todomoda -piso -1: Cantarina Joyas, Toty Stone, Cocó de la Vega, Viale Joyas, Mundano, Ucon -piso 1: Isadora;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de joyas o bisutería o accesorios hay en MUT | RESPUESTA: En MUT hay varias tiendas de joyería, accesorios y bisutería: -piso -3: PSK Joyas y Todomoda -piso -1: Cantarina Joyas, Toty Stone, Cocó de la Vega, Viale Joyas, Mundano, Ucon -piso 1: Isadora;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de chocolates o chocolaterías hay en MUT;En MUT hay varias tiendas de chocolates o chocolaterías: -piso -3: Feroz, Jo Pastelería -piso -2: Macarons Riches, Entre lagos, Dulcería Fiol -piso 1: La Fete -piso 3: Ponte Chiasso;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de chocolates o chocolaterías hay en MUT | RESPUESTA: En MUT hay varias tiendas de chocolates o chocolaterías: -piso -3: Feroz, Jo Pastelería -piso -2: Macarons Riches, Entre lagos, Dulcería Fiol -piso 1: La Fete -piso 3: Ponte Chiasso;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de Tecnología hay en MUT:;En MUT hay varias tiendas de tecnología: -piso -3: Backonline -piso 2: Maconline y Samsung;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de Tecnología hay en MUT: | RESPUESTA: En MUT hay varias tiendas de tecnología: -piso -3: Backonline -piso 2: Maconline y Samsung;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de Bicicletas y accesorios para bicicletas hay en MUT;En MUT está la tienda Ibikes, en el piso -1, que tiene bicicletas, vestuario y accesorios de ciclismo;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de Bicicletas y accesorios para bicicletas hay en MUT | RESPUESTA: En MUT está la tienda Ibikes, en el piso -1, que tiene bicicletas, vestuario y accesorios de ciclismo;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde puedo comprar un regalo en MUT;En MUT puedes comprar muchos tipos de regalo, depende de lo que quieras comprar. Hay chocolaterías, tiendas de vestuario de mujer, hombre y niños. Tiendas de accesorios, joyas, belleza, maquillaje, etc. Qué quieres comprar?;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde puedo comprar un regalo en MUT | RESPUESTA: En MUT puedes comprar muchos tipos de regalo, depende de lo que quieras comprar. Hay chocolaterías, tiendas de vestuario de mujer, hombre y niños. Tiendas de accesorios, joyas, belleza, maquillaje, etc. Qué quieres comprar?;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de vestuario o ropa de hombre (masculino) hay en MUT;En MUT hay varias tiendas de ropa o vestuario de hombres o masculino: - piso -1: Snog, La Plage, Museo Garment, Stance, Toke, Blundstone, More Amor, Joia, Lomvok -piso 1: Scalpers, Adidas, Fjall Raven, Black -piso 2: Nike, Lippi;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de vestuario o ropa de hombre (masculino) hay en MUT | RESPUESTA: En MUT hay varias tiendas de ropa o vestuario de hombres o masculino: - piso -1: Snog, La Plage, Museo Garment, Stance, Toke, Blundstone, More Amor, Joia, Lomvok -piso 1: Scalpers, Adidas, Fjall Raven, Black -piso 2: Nike, Lippi;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de vestuario o ropa de mujer (femenino) hay en MUT;En MUT hay varias tiendas de ropa o vestuario de mujer o femenino: - piso -1: Dinámica, NS Leather, Silvestre, Vístete Local, Coom, Rita Lira, Cons, La María Dolores, Mundano, Blue Blood, Jacinta, Sellos Vintage -piso 1: Scalpers, Adidas, Fjall Raven, Black, Karyn Coo -piso 2: Nike, Lippi;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de vestuario o ropa de mujer (femenino) hay en MUT | RESPUESTA: En MUT hay varias tiendas de ropa o vestuario de mujer o femenino: - piso -1: Dinámica, NS Leather, Silvestre, Vístete Local, Coom, Rita Lira, Cons, La María Dolores, Mundano, Blue Blood, Jacinta, Sellos Vintage -piso 1: Scalpers, Adidas, Fjall Raven, Black, Karyn Coo -piso 2: Nike, Lippi;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de anteojos y ópticas hay en MUT;En MUT hay varias tiendas de anteojos y ópticas: -piso -3: Rotter y Krauss -piso -1: Ben and Frank y B+D -piso 2: Lens;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de anteojos y ópticas hay en MUT | RESPUESTA: En MUT hay varias tiendas de anteojos y ópticas: -piso -3: Rotter y Krauss -piso -1: Ben and Frank y B+D -piso 2: Lens;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de suplementos alimenticios hay en MUT;En MUT hay varias tiendas donde venden suplementos alimneticios: -piso -3: All Nutrition, Farmacias Ahumada y Salcobrand;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de suplementos alimenticios hay en MUT | RESPUESTA: En MUT hay varias tiendas donde venden suplementos alimneticios: -piso -3: All Nutrition, Farmacias Ahumada y Salcobrand;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de relojes o relojerías hay en MUT;"En MUT está la tienda ""La Relojería"" en el piso -3";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de relojes o relojerías hay en MUT | RESPUESTA: En MUT está la tienda ""La Relojería"" en el piso -3";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de hogar, muebles y decoración hay en MUT;En MUT hay varias tiendas de hogar, muebles y decoración: -piso -3: Lipka -piso -1: Rincón Himalaya, Simple by Puro, Creado en Chile, Bendito, Bumy Lifestyle, The Plant Store , Bath and Blanc, Lycos Vounó, Ojo por Ojo, Kabinet, Karungen y Pasquín -piso 1: Brando -piso 3: Larry y Las 7 Vidas del Mueble;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de hogar, muebles y decoración hay en MUT | RESPUESTA: En MUT hay varias tiendas de hogar, muebles y decoración: -piso -3: Lipka -piso -1: Rincón Himalaya, Simple by Puro, Creado en Chile, Bendito, Bumy Lifestyle, The Plant Store , Bath and Blanc, Lycos Vounó, Ojo por Ojo, Kabinet, Karungen y Pasquín -piso 1: Brando -piso 3: Larry y Las 7 Vidas del Mueble;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de manualidades, lápices y artículos de librería hay en MUT;En MUT hay varias tiendas de manualidades, lápices y articulos de librería: -piso -1: Cordelia, Premium Paper, The Color Shop, Lamy y Revesderecho;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de manualidades, lápices y artículos de librería hay en MUT | RESPUESTA: En MUT hay varias tiendas de manualidades, lápices y articulos de librería: -piso -1: Cordelia, Premium Paper, The Color Shop, Lamy y Revesderecho;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué librerías o tiendas de libros hay en MUT;En MUT están las siguientes librerías: -piso 3: Librería Antártica y Librería Azafrán -piso -1: Libro Verde y Teraideas;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué librerías o tiendas de libros hay en MUT | RESPUESTA: En MUT están las siguientes librerías: -piso 3: Librería Antártica y Librería Azafrán -piso -1: Libro Verde y Teraideas;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Dónde están las industrias creativas ó living project, cómo llego;Las industrias creativas de MUT están en el piso -1, al fondo, entre la tienda La Plage y la cafetería Aura;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Dónde están las industrias creativas ó living project, cómo llego | RESPUESTA: Las industrias creativas de MUT están en el piso -1, al fondo, entre la tienda La Plage y la cafetería Aura;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas hay en las Industrias Creativas;Las Industrias Creativas son el sector del piso -1 de MUT, donde se concentran tiendas de diseño de autor, emprendedores y creadores nacionales. Están las siguientes tiendas: Joia, Atómica, Anné, Bumi Lifestyle, Bom Beauty, Blue Blood, Cantarina Joyas, Cons, Cocó de la Vega, Karungen, Lycos Vounó, Museo Garment, NS Leather, Ojo por Ojo, Rita Lira, Snog, Silvestre, Sellos Vintange, Teraideas, Vístete Local, Vestuá y Zucca;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas hay en las Industrias Creativas | RESPUESTA: Las Industrias Creativas son el sector del piso -1 de MUT, donde se concentran tiendas de diseño de autor, emprendedores y creadores nacionales. Están las siguientes tiendas: Joia, Atómica, Anné, Bumi Lifestyle, Bom Beauty, Blue Blood, Cantarina Joyas, Cons, Cocó de la Vega, Karungen, Lycos Vounó, Museo Garment, NS Leather, Ojo por Ojo, Rita Lira, Snog, Silvestre, Sellos Vintange, Teraideas, Vístete Local, Vestuá y Zucca;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas de Flores y plantas hay en MUT;En MUT hay varias tiendas de flores o florerías y plantas: -piso -1: El Florista, The Plant Store y la tienda de terrarios Karungen;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas de Flores y plantas hay en MUT | RESPUESTA: En MUT hay varias tiendas de flores o florerías y plantas: -piso -1: El Florista, The Plant Store y la tienda de terrarios Karungen;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Es MUT pet friendly o se puede venir con mascotas a MUT;Sí, a MUT puedes traer a tu mascota. Debes ejercer una tenencia responsable, preocuparte d esus desechos y de no molestar a otros visitantes.;CATEGORIA: Otras preguntas | PREGUNTA: Es MUT pet friendly o se puede venir con mascotas a MUT | RESPUESTA: Sí, a MUT puedes traer a tu mascota. Debes ejercer una tenencia responsable, preocuparte d esus desechos y de no molestar a otros visitantes.;Otras preguntas;10 Otras preguntas
Hay tiendas de ropa usada o ropa de segunda mano en MUT;Sí, en MUT hay tiendas de ropa usada o ropa de segunda mano y están en el piso -1: Vestúa, Ecocitex y Sellos Vintage;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay tiendas de ropa usada o ropa de segunda mano en MUT | RESPUESTA: Sí, en MUT hay tiendas de ropa usada o ropa de segunda mano y están en el piso -1: Vestúa, Ecocitex y Sellos Vintage;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
¿Hay tiendas de fotografía, marcos de fotos y revelado de fotos?;Sí, en MUT hay una tienda de fotografías y rveelado digital, que está en el piso -1. Se llama MIGO.;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: ¿Hay tiendas de fotografía, marcos de fotos y revelado de fotos? | RESPUESTA: Sí, en MUT hay una tienda de fotografías y rveelado digital, que está en el piso -1. Se llama MIGO.;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué tiendas infantiles para niños hay en MUT;"En MUT hay varias tiendas para niños, en el piso -1 están: - Blum Kids tienda de vestuario infantil; - Kolken tienda de juguetería; - Coyote Kids tienda de vestuario infantil; - Tato tienda de zapatería infantil; - Roots Toys tienda de juguetería; -Guaguitas a la moda tienda de vestuario infantil; También están las tiendas deportivas Adidas en el piso 1, que tiene zapatillas y ropa deportiva; y Skechers que tiene zapatillas infantiles. La tienda deportiva Nike que está en el piso 2 también tiene zapatillas y vestuario infantil.";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué tiendas infantiles para niños hay en MUT | RESPUESTA: En MUT hay varias tiendas para niños, en el piso -1 están: - Blum Kids tienda de vestuario infantil; - Kolken tienda de juguetería; - Coyote Kids tienda de vestuario infantil; - Tato tienda de zapatería infantil; - Roots Toys tienda de juguetería; -Guaguitas a la moda tienda de vestuario infantil; También están las tiendas deportivas Adidas en el piso 1, que tiene zapatillas y ropa deportiva; y Skechers que tiene zapatillas infantiles. La tienda deportiva Nike que está en el piso 2 también tiene zapatillas y vestuario infantil.";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Cuántas variedades y tipos de comida hay en las cocinerías y restaurantes de MUT;En las cocinerías y restaurantes de MUT hay mucha variedad de tipos de comida. Puedes encontrar comida: asiática, española, italiana, turca, vegana, india, mexicana, americana, chilena, carnes, sandwiches, empanadas, postres, pizzerías, queserías y mucho más.;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Cuántas variedades y tipos de comida hay en las cocinerías y restaurantes de MUT | RESPUESTA: En las cocinerías y restaurantes de MUT hay mucha variedad de tipos de comida. Puedes encontrar comida: asiática, española, italiana, turca, vegana, india, mexicana, americana, chilena, carnes, sandwiches, empanadas, postres, pizzerías, queserías y mucho más.;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay locales de venta de empanadas en MUT;Sí, en MUT hay locales de empanadas, entre ellos peudes encontrar: -piso -2: Huentelauquén y Sama -piso -3: Castaño;PREGUNTA: Hay locales de venta de empanadas en MUT | RESPUESTA: Sí, en MUT hay locales de empanadas, entre ellos peudes encontrar: -piso -2: Huentelauquén y Sama -piso -3: Castaño;;
Cuántas pizzerías y restaurantes o cocinerías de comida italiana hay en MUT;En MUT puedes encontrar variedad de coicinerías y restaurantes de comida italiana, están: -Piso -3: Pizzario -Piso -2: Tony Pizzería, Loca Pasta, Pizzería Savoia -Piso 4: Toni Lautaro;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Cuántas pizzerías y restaurantes o cocinerías de comida italiana hay en MUT | RESPUESTA: En MUT puedes encontrar variedad de coicinerías y restaurantes de comida italiana, están: -Piso -3: Pizzario -Piso -2: Tony Pizzería, Loca Pasta, Pizzería Savoia -Piso 4: Toni Lautaro;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Cuántas cocinerías y restaurantes de comida asiática hay en MUT;En MUT puedes encontrar variedad de coicinerías y restaurantes de comida Asiática, están: -Piso -3: Bobibobi -Piso -2: Sushilab, Arigato, WOK, Chicken International, Bibimpop, Mirai, Meze y Chawu;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Cuántas cocinerías y restaurantes de comida asiática hay en MUT | RESPUESTA: En MUT puedes encontrar variedad de coicinerías y restaurantes de comida Asiática, están: -Piso -3: Bobibobi -Piso -2: Sushilab, Arigato, WOK, Chicken International, Bibimpop, Mirai, Meze y Chawu;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay hamburguesas en MUT;"En MUT hay varios lugares para comer hambuerguesas, puedes encontrar: -piso -3: MIT BURGER; -piso -2: RAPAZ";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay hamburguesas en MUT | RESPUESTA: En MUT hay varios lugares para comer hambuerguesas, puedes encontrar: -piso -3: MIT BURGER; -piso -2: RAPAZ";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Qué restaurantes hay de comida chilena en MUT;"En MUT puedes encontrar varios locales de comida típica chilena, entre ellos están: -piso -3: restaurante Antigua Fuente; -piso -2: cocinería La Flaca, la sanguchería Don César y Emporio Schwencke";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Qué restaurantes hay de comida chilena en MUT | RESPUESTA: En MUT puedes encontrar varios locales de comida típica chilena, entre ellos están: -piso -3: restaurante Antigua Fuente; -piso -2: cocinería La Flaca, la sanguchería Don César y Emporio Schwencke";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Cuáles son los restaurantes o locales de sandwich o sangucherías en MUT;"En MUT puedes encontrar varios locales de venta de sandwich o sangucherías, entre ellos están: -piso -3: Antigua Fuente; MIT Burger -piso -2: La Fiambrería, Don César, Santiago Cheesemongers, Rapaz, Emporio Schwencke -piso 3: Rebelde";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Cuáles son los restaurantes o locales de sandwich o sangucherías en MUT | RESPUESTA: En MUT puedes encontrar varios locales de venta de sandwich o sangucherías, entre ellos están: -piso -3: Antigua Fuente; MIT Burger -piso -2: La Fiambrería, Don César, Santiago Cheesemongers, Rapaz, Emporio Schwencke -piso 3: Rebelde";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay tiendas de música o disquerías en MUT;Sí, en MUT están las siguientes tiendas de música o disquerías: -piso -1: Plaza Música y Needle -piso 3: La Disquería;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay tiendas de música o disquerías en MUT | RESPUESTA: Sí, en MUT están las siguientes tiendas de música o disquerías: -piso -1: Plaza Música y Needle -piso 3: La Disquería;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay locales o cocinerías de comida mexicana en MUT;Sí, en MUT está Chinga Tu Taco, que es una taquerpia mexicana, en el piso -2;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay locales o cocinerías de comida mexicana en MUT | RESPUESTA: Sí, en MUT está Chinga Tu Taco, que es una taquerpia mexicana, en el piso -2;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay zapaterías o tiendas de zapatos en MUT?;"Sí, en MUT hay varias tiendas de zapatos y zapatillas, entre ellas puedes encontrar: -piso -1: Blundstone, tienda de zapatos unisex; -piso -1: tienda de cueros De La Mafia; -piso -1: Tató, tienda de zapatos infantiles; -piso 1: tiendas deportivas Fjall Raven, Adidas y Skechers; -piso 2: está la tienda de zapatillas Nike y la tiendas de zapatillas Drops; -piso 3: está la tienda deportiva Lippi";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay zapaterías o tiendas de zapatos en MUT? | RESPUESTA: Sí, en MUT hay varias tiendas de zapatos y zapatillas, entre ellas puedes encontrar: -piso -1: Blundstone, tienda de zapatos unisex; -piso -1: tienda de cueros De La Mafia; -piso -1: Tató, tienda de zapatos infantiles; -piso 1: tiendas deportivas Fjall Raven, Adidas y Skechers; -piso 2: está la tienda de zapatillas Nike y la tiendas de zapatillas Drops; -piso 3: está la tienda deportiva Lippi";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
¿Hay restaurantes en MUT?;"Sí, en MUT hay varios restaurantes, entre ellos puedes encontrar: -piso 5: Restaurante Diablo, que es de vinos y carnes; -piso 4: Restaurante Toni Lautaro, que es de pizzas y comida italiana; -piso 4: Restaurante Ambrosía Bistró, que es un restaurante de cocina de autor creativa; -piso 3: Bar de Vinos Les Dix Vins, -piso -2: Restaurante Embarcadero 41, que es de comida Peruana; -piso -3: Antigua Fuente, que es una sanguchería típica chilena";"CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: ¿Hay restaurantes en MUT? | RESPUESTA: Sí, en MUT hay varios restaurantes, entre ellos puedes encontrar: -piso 5: Restaurante Diablo, que es de vinos y carnes; -piso 4: Restaurante Toni Lautaro, que es de pizzas y comida italiana; -piso 4: Restaurante Ambrosía Bistró, que es un restaurante de cocina de autor creativa; -piso 3: Bar de Vinos Les Dix Vins, -piso -2: Restaurante Embarcadero 41, que es de comida Peruana; -piso -3: Antigua Fuente, que es una sanguchería típica chilena";preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
Hay algún restaurante de comida peruana en MUT;Sí, en MUT está el Restaurante de comida peruana Embarcadero 41, en el piso -2;CATEGORIA: preguntas sobre búsqueda de tiendas | PREGUNTA: Hay algún restaurante de comida peruana en MUT | RESPUESTA: Sí, en MUT está el Restaurante de comida peruana Embarcadero 41, en el piso -2;preguntas sobre búsqueda de tiendas;1 preguntas sobre búsqueda de tiendas
